date,value
01.01.2020,"7199,8"
02.01.2020,"6967,0"
03.01.2020,"7343,1"
04.01.2020,"7376,8"
05.01.2020,"7372,5"
06.01.2020,"7759,1"
07.01.2020,"8155,7"
08.01.2020,"8059,6"
09.01.2020,"7842,4"
10.01.2020,"8187,1"
11.01.2020,"8024,1"
12.01.2020,"8187,6"
13.01.2020,"8111,4"
14.01.2020,"8829,2"
15.01.2020,"8818,3"
16.01.2020,"8726,9"
17.01.2020,"8913,1"
18.01.2020,"8916,3"
19.01.2020,"8706,2"
20.01.2020,"8641,9"
21.01.2020,"8732,6"
22.01.2020,"8678,5"
23.01.2020,"8405,1"
24.01.2020,"8439,9"
25.01.2020,"8341,6"
26.01.2020,"8607,8"
27.01.2020,"8866,6"
28.01.2020,"9377,3"
29.01.2020,"9298,9"
30.01.2020,"9507,3"
31.01.2020,"9349,1"
01.02.2020,"9381,6"
02.02.2020,"9334,9"
03.02.2020,"9296,6"
04.02.2020,"9193,9"
05.02.2020,"9611,8"
06.02.2020,"9772,0"
07.02.2020,"9818,6"
08.02.2020,"9895,5"
09.02.2020,"10151,5"
10.02.2020,"9854,1"
11.02.2020,"10229,5"
12.02.2020,"10317,7"
13.02.2020,"10235,1"
14.02.2020,"10333,0"
15.02.2020,"9907,7"
16.02.2020,"9932,3"
17.02.2020,"9701,4"
18.02.2020,"10158,4"
19.02.2020,"9609,4"
20.02.2020,"9602,4"
21.02.2020,"9684,5"
22.02.2020,"9655,7"
23.02.2020,"9942,7"
24.02.2020,"9662,7"
25.02.2020,"9317,2"
26.02.2020,"8800,3"
27.02.2020,"8818,6"
28.02.2020,"8697,5"
29.02.2020,"8543,7"
01.03.2020,"8540,0"
02.03.2020,"8904,8"
03.03.2020,"8761,4"
04.03.2020,"8757,9"
05.03.2020,"9060,3"
06.03.2020,"9134,8"
07.03.2020,"8887,8"
08.03.2020,"8034,1"
09.03.2020,"7933,0"
10.03.2020,"7891,2"
11.03.2020,"7935,1"
12.03.2020,"4826,0"
13.03.2020,"5584,3"
14.03.2020,"5182,7"
15.03.2020,"5366,3"
16.03.2020,"5030,0"
17.03.2020,"5261,1"
18.03.2020,"5361,4"
19.03.2020,"6172,0"
20.03.2020,"6205,3"
21.03.2020,"6186,2"
22.03.2020,"5822,1"
23.03.2020,"6468,9"
24.03.2020,"6744,6"
25.03.2020,"6678,9"
26.03.2020,"6725,1"
27.03.2020,"6373,4"
28.03.2020,"6233,7"
29.03.2020,"5890,4"
30.03.2020,"6391,0"
31.03.2020,"6412,5"
01.04.2020,"6638,5"
02.04.2020,"6800,5"
03.04.2020,"6735,9"
04.04.2020,"6857,4"
05.04.2020,"6772,7"
06.04.2020,"7332,3"
07.04.2020,"7185,2"
08.04.2020,"7361,2"
09.04.2020,"7289,0"
10.04.2020,"6863,1"
11.04.2020,"6867,8"
12.04.2020,"6917,6"
13.04.2020,"6841,3"
14.04.2020,"6850,9"
15.04.2020,"6629,1"
16.04.2020,"7085,6"
17.04.2020,"7035,8"
18.04.2020,"7230,8"
